Circuito	Mesa	Votos.nulos	Votos.en.blanco	Votos.recurridos	Votos.impugnados	HUMANISTA	GEN	PRIMERO.LA.GENTE	ENCUENTRO.VECINAL.CORDOBA	PAIS.1A	PAIS.2B	PAIS.3C	PAIS.4D	FRENTE.DE.IZQUIERDA.Y.DE.LOS.TRABAJADORES	SOMOS	UNION.POR.CORDOBA	FRENTE.CORDOBA.CIUDADANA	IZQUIERDA.AL.FRENTE.POR.EL.SOCIALISMO	CAMBIEMOS.506M	CAMBIEMOS.506R	long	lat	votos
0013K	8588	12	8	0	5	5	11	17	21	1	0	3	3	35	3	157	41	15	302	66	-64.0951127191	-31.3372778927	705
0013L	5735	8	3	1	0	4	3	11	6	1	2	0	0	11	3	82	19	9	128	26	-64.1605722475	-31.3260962103	317
0013M	5739	13	3	0	0	2	5	11	9	0	0	1	2	17	2	55	16	4	135	26	-64.1438158628	-31.3305635052	301
0013N	63393	117	65	1	10	57	44	191	165	6	9	8	7	359	21	1069	512	139	2205	371	-64.1330866557	-31.3818725617	5356
0014A	156032	461	245	0	41	112	119	269	302	34	25	28	25	628	148	3908	1642	382	3051	597	-64.2531307755	-31.3316296164	12017
0014B	56635	106	85	1	1	45	76	161	224	5	5	1	6	312	23	679	535	113	2114	385	-64.2702021035	-31.3397373938	4877
0014C	44985	64	63	1	4	30	62	137	168	7	2	2	5	241	27	427	427	97	1678	323	-64.2911909326	-31.3359658169	3765
0014D	60330	82	50	0	0	18	68	103	406	4	0	0	0	184	14	295	324	76	2747	408	-64.2357068191	-31.3717014713	4779
0014E	60730	155	55	1	0	46	69	173	179	6	6	14	9	309	47	1000	481	162	1867	271	-64.2703243397	-31.3213046782	4850
0014F	61130	121	63	7	0	41	67	189	230	4	3	2	4	312	29	769	387	118	2154	327	-64.250977894	-31.340513729	4827
0014G	86254	176	111	0	6	65	69	215	176	7	12	15	17	429	38	1659	701	172	2435	407	-64.225307263	-31.3373859715	6710
0014H	43421	125	60	0	22	35	44	97	110	6	7	2	12	168	30	920	299	103	1078	247	-64.2533975827	-31.3178965355	3365
0014I	49864	89	52	0	1	32	63	154	189	8	5	2	9	252	31	506	420	111	1994	329	-64.2321412316	-31.3543044441	4247
0014J	75276	76	74	2	4	30	91	150	489	4	1	3	5	223	29	571	399	84	3365	521	-64.2408688039	-31.3827384374	6121
0014K	34694	112	48	2	0	26	40	80	73	7	3	5	4	199	23	564	267	82	1005	165	-64.2846863913	-31.3133146779	2705
0014L	25364	22	14	0	0	17	30	43	106	0	1	1	1	99	7	187	191	30	1103	197	-64.252435321	-31.3607729576	2049
0014M	89278	125	75	1	1	48	106	229	417	7	2	3	4	366	60	635	576	123	3606	649	-64.2299449165	-31.3641413504	7033
0014N	44933	156	58	0	0	37	45	87	98	6	7	6	5	226	24	894	328	115	1079	193	-64.2703748746	-31.315681193	3364
0014O	64562	166	76	0	20	46	48	146	136	8	9	9	20	323	57	1142	487	113	1418	316	-64.2759854327	-31.3296966174	4540
0014P	32446	79	41	0	0	26	42	72	124	4	2	3	8	181	31	393	372	59	856	148	-64.2926821604	-31.3249415446	2441
0014Q	6503	9	3	0	0	1	5	17	19	0	0	1	0	21	4	36	48	7	285	35	-64.2996720727	-31.3377721325	491

